file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00041_04637.600-04639.850,སཱ་གང་ལྟར་ཨེ་ནས་བླ་མའི་ ,sA gang ltar e nas bla ma'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_04637.600-04639.850.wav,STT_TT,3,24,2.25,wav16k/STT_TT00041_04637.600-04639.850.wav,གང་ལྟར་ཨེ་ནས་བླ་མའི།
STT_NS_M0227_0188_1785008_to_1788762,སྐད་ཆ་གཅིག་ད་དྲིས་ན་འགྲིག་གི་འདུག་ག སོ་སོ་སྙིང་རྗེ་ཡ་ཡུད་རོགས་པ་དེ་ལ་རྩི་གི་ཡོད་རེད་ད་རཱ། ཨ་མ།  ,skad cha gcig da dris na 'grig gi 'dug ga_so so snying rje ya yud rogs pa de la rtsi gi yod red da rA/_a ma/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0227_0188_1785008_to_1788762.wav,STT_NS,3,96,3.754,wav16k/STT_NS_M0227_0188_1785008_to_1788762.wav,སྐད་ཆ་གཅིག་ད་དྲིས་ན་འགྲིག་གི་འདུག་བ། སོ་སོ་སྙིང་རྗེ་ཡ་ཡུད་རོགས་པ་དེ་ལ་བརྩི་གི་ཡོད་རེད་ད་རཱ། ཨ་མ།
STT_TT00543_0294_2020938_to_2024682,སློང་མོར་འགྲོ། དེ་ནས། དེ་དགོང་དགོང་འདའ་དེ་ལ། དེ་བསྡད་ས་འདྲ་བོ། གཏན་ཁེལ་འདྲ་བོ་ཅིག་ཡོད་ས་རེད།  ,slong mor 'gro/_de nas/_de dgong dgong 'da' de la/_de bsdad sa 'dra bo/_gtan khel 'dra bo cig yod sa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00543_0294_2020938_to_2024682.wav,STT_TT,3,94,3.744,wav16k/STT_TT00543_0294_2020938_to_2024682.wav,སློང་མོ་འགྲོ། དེ་ནས་དེ་དགོང་དགོང་དག་དེ་ལ། དེ་བསྡད་ས་འདྲ་བོ་སྟན་མཁན་འདྲ་བོ་ཅིག་ཡོད་ས་རེད།
STT_TT00525_0299_1768848_to_1771510,ཨོ་རེད་ད། རྡོ་རྗེ་ཕྲེང་བའི་འགྲེལ་བ་ལས་ག་རེ་རེད་ཟེར་ཟེར་ན།  ,o red da/_rdo rje phreng ba'i 'grel ba las ga re red zer zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00525_0299_1768848_to_1771510.wav,STT_TT,3,59,2.662,wav16k/STT_TT00525_0299_1768848_to_1771510.wav,ཨོ་རེད་ད། རྡོ་རྗེ་ཕྲེང་བའི་འགྲེལ་བ་ལ་ག་རེ་རེ་ཟེར་ཟེར་ན།
STT_TT00612_0356_2797363_to_2799598,དེང་དུས་ཀི་ཤེས་ཡོན་གི་ཐོག་ནས། དངོས་པོ་ཡར་རྒྱས་འགྲོ་ཡ་ཅིག ,deng dus ki shes yon gi thog nas/_dngos po yar rgyas 'gro ya cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00612_0356_2797363_to_2799598.wav,STT_TT,3,57,2.235,wav16k/STT_TT00612_0356_2797363_to_2799598.wav,དེང་དུས་ཀི་ཤེས་ཡོན་གི་ཐོག་ནས། དངོས་པོ་ཡར་རྒྱས་འགྲོ་ཡ་ཅིག
STT_NS_M0201_0063_398250_to_406365,ནམ་རྒྱུན་དུ་ནས་ཁོ་རང་ལས་ཀ་མི་དེ་ཚོ་གིས་བྱེད་ཐུབ་ཡ་དེ་ཚོ་ཡང་ད་འཕྲུལ་ཆས་ལ་བྱེད་བཅུག་རཱ། ཨེ་ནས་སོ་སོ་ཀ་ཅི་འཕྲོད་བསྟེན་ལ་མ་བལྟ་བ་བྱས་སོ་སོ་ད་མི་ ,nam rgyun du nas kho rang las ka mi de tsho gis byed thub ya de tsho yang da 'phrul chas la byed bcug rA/_e nas so so ka ci 'phrod bsten la ma blta ba byas so so da mi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0201_0063_398250_to_406365.wav,STT_NS,3,141,8.115,wav16k/STT_NS_M0201_0063_398250_to_406365.wav,ནམ་རྒྱུན་དུ་ནས་ཁོ་རང་ལས་ཀ་མི་དེ་ཚོ་ཡིས་བྱེད་ཐུབ་ཡ་དེ་ཚོ་ཡང་ད་འཕྲུལ་ཆས་ལ་བྱེད་བཅུག་རཱ། ཨེ་ནས་སོ་སོ་ཀ་ཅི་འཕྲོད་བསྟེན་ལ་མ་བལྟ་བ་བྱས་སོ་སོ་ད་མི།
STT_NS_M0183_0093_756339_to_758933,དགོང་དག་མཚན་མཚན་གང་ཁ་པར་སྲུང་ནས་བསྡད་དགོས་རེད།  ,dgong dag mtshan mtshan gang kha par srung nas bsdad dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0183_0093_756339_to_758933.wav,STT_NS,3,48,2.594,wav16k/STT_NS_M0183_0093_756339_to_758933.wav,དགོང་དག་མཚན་མཚན་གང་འཕར་པ་སྒྲུང་ནས་འགྲོོ་བསྡད་དགོས་རེད།
STT_TT00509_0116_1119155_to_1121493,ཀུན་རྫོབ་བྱང་ཆུབ་ཀྱི་སེམས་དང་དོན་དམ་སེམས་གཉིས་པོ་དེ།  ,kun rdzob byang chub kyi sems dang don dam sems gnyis po de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00509_0116_1119155_to_1121493.wav,STT_TT,3,54,2.338,wav16k/STT_TT00509_0116_1119155_to_1121493.wav,ཀུན་རྫོབ་བྱང་ཆུབ་ཀྱི་སེམས་དང་དན་འྫུབ་ཀྱི་སེམས་གཉིས་པོ་དེ།
STT_TT00545_0353_2745501_to_2748509,ཨ། བཞི་པ་སྒྱུ་ལུས་ནི་དོན་གྱི་འོད་གསལ་དུ་འཕོ་ཚུལ་ཡོད་དེ།  ,a/_bzhi pa sgyu lus ni don gyi 'od gsal du 'pho tshul yod de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00545_0353_2745501_to_2748509.wav,STT_TT,3,57,3.008,wav16k/STT_TT00545_0353_2745501_to_2748509.wav,ཨ། བཞི་པ་སྒྱུ་ལུས་ནི་དོན་གྱི་འོད་གསལ་དུ་འཕོ་ཚུལ་ཡོད་དེ།
STT_TT00543_0351_2422141_to_2427482,ད་སྤྱིར་བཏང་སྟོང་པ་བཞི་ཡི་ཡེ་ཤེས་དེ་ལ། སྟོང་སང་ཤར་གཅིག་པ་རེད། སྟོང་སང་ནམ་མཁའ་གཡའ་དག་ལྟ་བུ་ཤར་དགོས་རེད།  ,da spyir btang stong pa bzhi yi ye shes de la/_stong sang shar gcig pa red/_stong sang nam mkha' g.ya' dag lta bu shar dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00543_0351_2422141_to_2427482.wav,STT_TT,3,104,5.341,wav16k/STT_TT00543_0351_2422141_to_2427482.wav,ད་སྤྱིར་བཏང་སྟོང་པ་བཞིའཡི་ཡེ་ཤེས་དེ་ལ་སྟོང་སང་ཤ་གཅིག་པ་རེད། སྟོང་སང་ནམ་མཁའ་གཡར་དག་ལྟ་བུ་ཞག་དགོས་རེད།
